year,age,location,lat,lon,livingWith
1769,0,"Ajaccio, Corsica",41.9192,8.7386,"Parents"
1779,10,"Brienne-le-Château, France",48.3867,4.5226,"Military School"
1784,15,"Paris, France (École Militaire)",48.8566,2.3522,"Military School"
1786,17,"Valence, France",44.9334,4.8924,"Artillery Regiment"
1793,24,"Toulon, France",43.1242,5.9280,"French Army"
1795,26,"Paris, France",48.8566,2.3522,"French Army"
1796,27,"Nice, France",43.7102,7.2620,"Army of Italy"
1796,27,"Milan, Italy",45.4642,9.1900,"Army of Italy"
1797,28,"Rivoli Veronese, Italy",45.5971,10.8200,"Army of Italy"
1798,29,"Alexandria, Egypt",31.2001,29.9187,"Army of the Orient"
1798,29,"Cairo, Egypt",30.0444,31.2357,"Army of the Orient"
1799,30,"Jaffa, Israel",32.0500,34.7500,"Army of the Orient"
1799,30,"Acre, Israel",32.9220,35.0760,"Army of the Orient"
1799,30,"Paris, France",48.8566,2.3522,"Government (First Consul)"
1800,31,"Milan, Italy",45.4642,9.1900,"French Army"
1800,31,"Marengo (Spinetta Marengo), Italy",44.9127,8.5892,"French Army"
1804,35,"Paris, France (Crowned Emperor)",48.8566,2.3522,"Imperial Court"
1805,36,"Ulm, Germany",48.3984,9.9916,"Grande Armée"
1805,36,"Austerlitz (Slavkov u Brna), Czechia",49.1539,16.8765,"Grande Armée"
1807,38,"Tilsit (Sovetsk), Russia",55.0800,21.8800,"Grande Armée"
1808,39,"Madrid, Spain",40.4168,-3.7038,"French Army"
1812,43,"Vilnius, Lithuania",54.6872,25.2797,"Grande Armée"
1812,43,"Moscow, Russia",55.7558,37.6173,"Grande Armée"
1812,43,"Smolensk, Russia",54.7826,32.0453,"Grande Armée"
1813,44,"Leipzig, Germany (Battle of Nations)",51.3397,12.3731,"French Army"
1814,45,"Fontainebleau, France",48.4023,2.7003,"Imperial Guard"
1814,45,"Elba Island (First Exile)",42.8117,10.3126,"Household"
1815,46,"Paris, France (Hundred Days)",48.8566,2.3522,"Government"
1815,46,"Waterloo, Belgium",50.6806,4.4055,"French Army"
1815,46,"Rochefort, France",45.9420,-0.9639,"Escorted by British"
1815,46,"Jamestown, Saint Helena",-15.9387,-5.7152,"British Custody"
1821,51,"Longwood House, Saint Helena",-15.9464,-5.6746,"Household (Death)"
