year,age,location,lat,lon,livingWith
1643,0,"Woolsthorpe, England",52.8108,-0.6414,"Grandmother"
1653,10,"Woolsthorpe, England",52.8108,-0.6414,"Mother"
1655,12,"Grantham, England",52.9144,-0.6417,"Boarding"
1661,18,"Cambridge, England",52.2053,0.1218,"Trinity College"
1665,22,"Cambridge, England",52.2053,0.1218,"Trinity College"
1666,23,"Woolsthorpe, England",52.8108,-0.6414,"Mother (Plague Year)"
1667,24,"Cambridge, England",52.2053,0.1218,"Trinity Fellow"
1669,26,"Cambridge, England",52.2053,0.1218,"Trinity Professor"
1672,29,"Cambridge, England",52.2053,0.1218,"Trinity Professor"
1684,41,"Cambridge, England",52.2053,0.1218,"Trinity Professor"
1687,44,"Cambridge, England",52.2053,0.1218,"Trinity Professor"
1696,53,"London, England",51.5074,-0.1278,"Warden of Mint"
1700,57,"London, England",51.5074,-0.1278,"Master of Mint"
1703,60,"London, England",51.5074,-0.1278,"Royal Society President"
1704,61,"London, England",51.5074,-0.1278,"Royal Society President"
1705,62,"London, England",51.5074,-0.1278,"Sir Isaac Newton"
1710,67,"London, England",51.5074,-0.1278,"Sir Isaac Newton"
1715,72,"London, England",51.5074,-0.1278,"Sir Isaac Newton"
1720,77,"London, England",51.5074,-0.1278,"Sir Isaac Newton"
1725,82,"London, England",51.5074,-0.1278,"Sir Isaac Newton"
1727,84,"Kensington, London",51.4991,-0.1938,"Sir Isaac Newton"
