year,age,location,lat,lon,livingWith
1879,0,"Ulm, Germany",48.4011,9.9876,"Parents"
1880,1,"Munich, Germany",48.1351,11.5820,"Parents"
1894,15,"Milan, Italy",45.4642,9.1900,"Parents"
1895,16,"Aarau, Switzerland",47.3925,8.0457,"Winteler Family"
1896,17,"Zurich, Switzerland",47.3769,8.5417,"Student"
1900,21,"Zurich, Switzerland",47.3769,8.5417,"Student"
1901,22,"Winterthur, Switzerland",47.5000,8.7500,"Teacher"
1902,23,"Bern, Switzerland",46.9480,7.4474,"Self"
1903,24,"Bern, Switzerland",46.9480,7.4474,"Mileva"
1904,25,"Bern, Switzerland",46.9480,7.4474,"Mileva-Hans"
1905,26,"Bern, Switzerland",46.9480,7.4474,"Mileva-Hans"
1909,30,"Zurich, Switzerland",47.3769,8.5417,"Mileva-Hans-Eduard"
1911,32,"Prague, Czech Republic",50.0755,14.4378,"Mileva-Hans-Eduard"
1912,33,"Zurich, Switzerland",47.3769,8.5417,"Mileva-Hans-Eduard"
1914,35,"Berlin, Germany",52.5200,13.4050,"Mileva-Hans-Eduard"
1919,40,"Berlin, Germany",52.5200,13.4050,"Elsa"
1921,42,"Princeton, NJ (visit)",40.3573,-74.6672,"Elsa"
1922,43,"Berlin, Germany",52.5200,13.4050,"Elsa"
1930,51,"Pasadena, CA (visit)",34.1478,-118.1445,"Elsa"
1933,54,"Princeton, NJ",40.3573,-74.6672,"Elsa"
1936,57,"Princeton, NJ",40.3573,-74.6672,"Self"
1940,61,"Princeton, NJ",40.3573,-74.6672,"Self"
1945,66,"Princeton, NJ",40.3573,-74.6672,"Self"
1950,71,"Princeton, NJ",40.3573,-74.6672,"Self"
1955,76,"Princeton, NJ",40.3573,-74.6672,"Self"
