year,age,location,lat,lon,livingWith
1934,0,"London, England",51.5074,-0.1278,"Parents"
1935,1,"Bournemouth, England",50.7192,-1.8808,"Parents"
1957,23,"Nairobi, Kenya",-1.2864,36.8172,"Working for Louis Leakey"
1960,26,"Gombe Stream, Tanzania",-4.6727,29.6232,"Field Research Team"
1962,28,"Cambridge, England",52.2053,0.1218,"Graduate Study"
1965,31,"Gombe Stream, Tanzania",-4.6727,29.6232,"Field Research Team"
1967,33,"Gombe Stream, Tanzania",-4.6727,29.6232,"Family"
1974,40,"Dar es Salaam, Tanzania",-6.7924,39.2083,"Family and Researchers"
1977,43,"California, USA (JGI Founded)",36.7783,-119.4179,"Jane Goodall Institute"
1986,52,"Chicago, USA",41.8781,-87.6298,"Conservation Colleagues"
1990,56,"Global Lecture Travel",0.0000,0.0000,"On Tour"
1995,61,"Washington, D.C., USA",38.9072,-77.0369,"JGI Headquarters"
2000,66,"Global Conservation Travel",0.0000,0.0000,"On Tour"
2005,71,"Born Free Foundation Projects, Kenya",-1.2864,36.8172,"Conservation Partners"
2010,76,"Roots & Shoots Worldwide Visits",0.0000,0.0000,"On Tour"
2015,81,"United Nations HQ, New York",40.7128,-74.0060,"UN Delegation"
2020,86,"Bournemouth, England (COVID lockdown)",50.7192,-1.8808,"Family"
2022,88,"Global Lecture Travel",0.0000,0.0000,"On Tour"
2024,90,"Gombe Stream Anniversary Visit",-4.6727,29.6232,"Researchers & JGI"
2025,91,"Washington, D.C., USA",38.9072,-77.0369,"JGI"
