year,age,location,lat,lon,livingWith
1254,0,"Venice, Italy",45.4408,12.3155,"Parents"
1269,15,"Venice, Italy",45.4408,12.3155,"Father & Uncle Returned"
1271,17,"Acre, Holy Land",32.9236,35.0818,"Father & Uncle"
1271,17,"Ayas, Armenia (port)",40.9366,35.9176,"Traveling"
1272,18,"Tabriz, Persia (Iran)",38.0962,46.2738,"Traveling"
1273,19,"Hormuz, Persia (Iran)",27.1130,56.3590,"Traveling"
1274,20,"Kashgar, Western China",39.4704,75.9898,"Traveling"
1275,21,"Khotan (Hotan), China",37.1100,79.9300,"Traveling"
1275,21,"Dunhuang, China",40.1421,94.6620,"Traveling"
1275,21,"Shangdu (Xanadu), Mongolia",42.3760,116.1950,"Kublai Khan's Court"
1276,22,"Dadu (Beijing), China",39.9042,116.4074,"Kublai Khan's Court"
1280,26,"Yunnan Province, China",25.0453,102.7097,"Government Service"
1284,30,"Hangzhou, China",30.2741,120.1551,"Government Service"
1286,32,"Fujian Province (Quanzhou), China",24.8730,118.6759,"Government Service"
1292,38,"Zaitun (Quanzhou), China — Departure with Mongol Princess",24.8730,118.6759,"Escort Mission"
1293,39,"Sumatra, Indonesia",0.7893,102.2655,"At Sea"
1294,40,"Sri Lanka (Ceylon)",7.8731,80.7718,"At Sea"
1294,40,"Cochin, India",9.9312,76.2673,"Traveling"
1295,41,"Hormuz, Persia (Iran)",27.1130,56.3590,"Escort Mission"
1295,41,"Trebi zond (Trabzon), Turkey",41.0000,39.7167,"Traveling"
1295,41,"Constantinople (Istanbul), Turkey",41.0082,28.9784,"Traveling"
1295,41,"Venice, Italy",45.4408,12.3155,"Family"
1298,44,"Genoa, Italy (captured in war)",44.4056,8.9463,"Imprisoned"
1299,45,"Venice, Italy",45.4408,12.3155,"Family"
1300,46,"Venice, Italy",45.4408,12.3155,"Wife Donata & Children"
1324,70,"Venice, Italy",45.4408,12.3155,"Family (Final Years)"
