year,age,location,lat,lon,livingWith
1480,0,"Sabrosa, Portugal",41.2667,-7.5833,"Parents"
1492,12,"Lisbon, Portugal",38.7223,-9.1393,"Royal Court Page"
1505,25,"Lisbon, Portugal",38.7223,-9.1393,"Portuguese Fleet"
1510,30,"Goa, India",15.2993,74.1240,"Portuguese Service"
1511,31,"Malacca, Malaysia",2.1896,102.2501,"Portuguese Service"
1513,33,"Azemmour, Morocco",33.2833,-8.3333,"Portuguese Military"
1517,37,"Seville, Spain",37.3891,-5.9845,"Spanish Service"
1519,39,"Seville, Spain",37.3891,-5.9845,"Expedition Fleet"
1519,39,"Canary Islands",28.2916,-16.6291,"At Sea"
1519,39,"Rio de Janeiro, Brazil",-22.9068,-43.1729,"At Sea"
1520,40,"San Julián, Argentina",-49.3000,-67.7167,"At Sea"
1520,40,"Strait of Magellan",-53.9000,-70.0000,"At Sea"
1521,41,"Pacific Ocean",0.0000,-140.0000,"At Sea"
1521,41,"Guam",13.4443,144.7937,"At Sea"
1521,41,"Cebu, Philippines",10.3157,123.8854,"At Sea"
