year,age,location,lat,lon,livingWith
356,0,"Pella, Macedonia",40.7604,22.5187,"Parents"
343,13,"Mieza, Macedonia (Aristotle’s School)",40.7289,22.3500,"Aristotle & Companions"
336,20,"Aegae (Vergina), Macedonia",40.4844,22.3180,"Royal Court"
334,22,"Troy, Anatolia (Campaign Begins)",39.9578,26.2384,"Army"
333,23,"Issus, Turkey",36.5875,36.1731,"Army"
332,24,"Tyre (Siege), Lebanon",33.2704,35.2033,"Army"
332,24,"Gaza, Palestine",31.4150,34.3500,"Army"
331,25,"Memphis, Egypt",29.8710,31.2059,"Army"
331,25,"Alexandria, Egypt (Founded)",31.2001,29.9187,"Army"
331,25,"Siwa Oasis, Egypt (Oracle Visit)",29.2040,25.5194,"Companions"
331,25,"Gaugamela, Iraq",36.3610,43.1450,"Army"
330,26,"Babylon, Iraq",32.5420,44.4200,"Army"
330,26,"Susa, Iran",32.1896,48.2571,"Army"
330,26,"Persepolis, Iran",29.9343,52.8900,"Army"
329,27,"Ecbatana (Hamadan), Iran",34.8068,48.5120,"Army"
327,29,"Bactra (Balkh), Afghanistan",36.7563,66.8972,"Army"
326,30,"Alexandria on the Caucasus (Kabul)",34.5553,69.2075,"Army"
326,30,"Indus River Crossing (Pakistan)",31.0000,71.0000,"Army"
326,30,"Battle of Hydaspes (Jhelum), Pakistan",32.9330,73.7330,"Army"
325,31,"Patala (Thatta), Pakistan",24.7500,67.9000,"Army"
325,31,"Gedrosian Desert (Makran), Iran",26.0000,57.0000,"Army"
324,32,"Susa, Iran (Mass Weddings)",32.1896,48.2571,"Army"
324,32,"Ecbatana, Iran",34.8068,48.5120,"Companions"
323,33,"Babylon, Iraq (Final Residence)",32.5420,44.4200,"Royal Court"
323,33,"Babylon, Iraq (Death)",32.5420,44.4200,"Companions"
