year,age,location,lat,lon,livingWith
1858,0,"New York City, NY",40.7128,-74.0060,"Parents"
1876,18,"Cambridge, MA (Harvard)",42.3770,-71.1167,"Student"
1880,22,"New York City, NY",40.7128,-74.0060,"Alice"
1881,23,"Albany, NY",42.6526,-73.7562,"Assemblyman"
1883,25,"Medora, ND",46.9147,-103.5238,"Rancher"
1886,28,"Oyster Bay, NY",40.8659,-73.5318,"Edith"
1889,31,"Washington, DC",38.9072,-77.0369,"Civil Service Comm"
1895,37,"New York City, NY",40.7128,-74.0060,"Police Commissioner"
1897,39,"Washington, DC",38.9072,-77.0369,"Asst Sec of Navy"
1898,40,"Santiago, Cuba",20.0247,-75.8219,"Rough Riders"
1899,41,"Albany, NY",42.6526,-73.7562,"Governor"
1901,43,"Washington, DC",38.9072,-77.0369,"Vice President"
1901,43,"Washington, DC",38.9072,-77.0369,"President"
1906,48,"Panama City, Panama",8.9824,-79.5199,"President (visit)"
1909,51,"Nairobi, Kenya",-1.2864,36.8172,"Safari Expedition"
1910,52,"Paris, France",48.8566,2.3522,"European Tour"
1913,55,"Rio de Janeiro, Brazil",-22.9068,-43.1729,"South America Exp"
1914,56,"Oyster Bay, NY",40.8659,-73.5318,"Edith"
1919,60,"Oyster Bay, NY",40.8659,-73.5318,"Edith"
